Episode,Epochs,WinCount,WinPct,Loss
1,100,12,0.120,0.168117
2,100,29,0.290,0.452914
3,100,34,0.340,0.479774
4,100,32,0.320,0.096530
5,100,48,0.480,0.315455
6,100,22,0.220,0.485379
7,100,37,0.370,0.019794
8,100,31,0.310,0.159073
9,100,38,0.380,0.557444
10,100,24,0.240,0.020706
11,100,31,0.310,0.380542
12,100,30,0.300,0.460262
13,100,41,0.410,0.332024
14,100,42,0.420,0.233041
15,100,41,0.410,0.146028
16,100,41,0.410,0.533686
17,100,45,0.450,0.332924
18,100,36,0.360,0.056923
19,100,56,0.560,0.411526
20,100,49,0.490,0.109321
21,100,47,0.470,0.102267
22,100,53,0.530,0.036679
23,100,51,0.510,0.033103
24,100,48,0.480,0.346608
25,100,43,0.430,0.271702
26,100,36,0.360,0.385864
27,100,43,0.430,0.179451
28,100,51,0.510,0.042313
29,100,50,0.500,0.287096
30,100,56,0.560,0.031236
31,100,57,0.570,0.271923
32,100,45,0.450,0.185692
33,100,68,0.680,0.221096
34,100,54,0.540,0.266537
35,100,23,0.230,0.457026
36,100,49,0.490,0.180947
37,100,45,0.450,0.086559
38,100,41,0.410,0.158713
39,100,37,0.370,0.101330
40,100,37,0.370,0.143343
41,100,44,0.440,0.253671
42,100,58,0.580,0.322191
43,100,42,0.420,0.064138
44,100,42,0.420,0.070755
45,100,45,0.450,0.049362
46,100,58,0.580,0.066831
47,100,42,0.420,0.457114
48,100,38,0.380,0.074634
49,100,36,0.360,0.047034
50,100,42,0.420,0.434780
51,100,37,0.370,0.052381
52,100,52,0.520,0.126509
53,100,45,0.450,0.279345
54,100,49,0.490,0.149501
55,100,52,0.520,0.094779
56,100,32,0.320,0.317737
57,100,47,0.470,0.073678
58,100,45,0.450,0.341581
59,100,44,0.440,0.551294
60,100,37,0.370,0.057032
61,100,38,0.380,0.052483
62,100,50,0.500,0.015866
63,100,54,0.540,0.013791
64,100,55,0.550,0.062339
65,100,60,0.600,0.032040
66,100,71,0.710,0.059691
67,100,62,0.620,0.032900
68,100,63,0.630,0.027840
69,100,52,0.520,0.030507
70,100,42,0.420,0.357855
71,100,52,0.520,0.306222
72,100,37,0.370,0.372860
73,100,47,0.470,0.076530
74,100,49,0.490,0.230854
75,100,60,0.600,0.204348
76,100,66,0.660,0.073154
77,100,68,0.680,0.042583
78,100,55,0.550,0.027529
79,100,55,0.550,0.441652
80,100,50,0.500,0.643927
81,100,62,0.620,0.370012
82,100,59,0.590,0.104058
83,100,54,0.540,0.291468
84,100,59,0.590,0.075068
85,100,61,0.610,0.149843
86,100,65,0.650,0.269227
87,100,73,0.730,0.058591
88,100,69,0.690,0.009914
89,100,73,0.730,0.077554
90,100,73,0.730,0.056902
91,100,69,0.690,0.090198
92,100,75,0.750,0.040866
93,100,75,0.750,0.047204
94,100,77,0.770,0.087303
95,100,72,0.720,0.535118
96,100,79,0.790,0.104222
97,100,62,0.620,0.021957
98,100,50,0.500,0.059895
99,100,79,0.790,0.044359
100,100,77,0.770,0.030266
