Episode,Epochs,WinCount,WinPct,Loss
1,100,32,0.320,0.639308
2,100,52,0.520,0.090292
3,100,74,0.740,0.062521
4,100,89,0.890,0.035424
5,100,77,0.770,0.023319
6,100,61,0.610,0.069714
7,100,90,0.900,0.023012
8,100,82,0.820,0.016010
9,100,87,0.870,0.246914
10,100,91,0.910,0.040096
11,100,81,0.810,0.419778
12,100,95,0.950,0.040426
13,100,90,0.900,0.016589
14,100,95,0.950,0.043976
15,100,82,0.820,0.125044
16,100,97,0.970,0.030349
17,100,99,0.990,0.093256
18,100,95,0.950,0.069894
19,100,96,0.960,0.081974
20,100,91,0.910,0.060673
21,100,95,0.950,0.012333
22,100,98,0.980,0.016080
23,100,97,0.970,0.020628
24,100,98,0.980,0.031137
25,100,97,0.970,0.020973
26,100,98,0.980,0.015039
27,100,96,0.960,0.036521
28,100,96,0.960,0.015773
29,100,97,0.970,0.014444
30,100,99,0.990,0.006622
31,100,95,0.950,0.037605
32,100,97,0.970,0.018428
33,100,98,0.980,0.024874
34,100,98,0.980,0.021324
35,100,98,0.980,0.018549
36,100,95,0.950,0.019751
37,100,99,0.990,0.004305
38,100,97,0.970,0.017156
39,100,98,0.980,0.003523
40,100,97,0.970,0.016339
41,100,98,0.980,0.011683
42,100,99,0.990,0.003588
43,100,94,0.940,0.061664
44,100,99,0.990,0.004055
45,100,98,0.980,0.009298
46,100,100,1.000,0.000915
47,100,97,0.970,0.040241
48,100,98,0.980,0.008708
49,100,96,0.960,0.015156
50,100,93,0.930,0.034139
51,100,94,0.940,0.019657
52,100,98,0.980,0.010989
53,100,98,0.980,0.016317
54,100,95,0.950,0.027486
55,100,99,0.990,0.005454
56,100,90,0.900,0.014041
57,100,94,0.940,0.060254
58,100,93,0.930,0.048525
59,100,64,0.640,0.065166
60,100,93,0.930,0.126384
61,100,96,0.960,0.020716
62,100,90,0.900,0.013283
63,100,96,0.960,0.027375
64,100,97,0.970,0.017012
65,100,85,0.850,0.028674
66,100,93,0.930,0.038295
67,100,95,0.950,0.020518
68,100,93,0.930,0.019253
69,100,75,0.750,0.049907
70,100,89,0.890,0.030774
71,100,97,0.970,0.038818
72,100,89,0.890,0.020378
73,100,98,0.980,0.009853
74,100,99,0.990,0.018153
75,100,97,0.970,0.011158
76,100,95,0.950,0.018611
77,100,97,0.970,0.002870
78,100,97,0.970,0.006258
79,100,92,0.920,0.045698
80,100,99,0.990,0.024944
81,100,41,0.410,0.095647
82,100,54,0.540,0.105138
83,100,75,0.750,0.044398
84,100,73,0.730,0.040862
85,100,80,0.800,0.015464
86,100,95,0.950,0.082766
87,100,91,0.910,0.041041
88,100,93,0.930,0.039949
89,100,95,0.950,0.023602
90,100,89,0.890,0.046693
91,100,92,0.920,0.362856
92,100,87,0.870,0.026100
93,100,89,0.890,0.076275
94,100,94,0.940,0.059200
95,100,88,0.880,0.110817
96,100,93,0.930,0.042315
97,100,94,0.940,0.010081
98,100,95,0.950,0.019854
99,100,100,1.000,0.001762
100,100,90,0.900,0.039400
