Episode,Epochs,WinCount,WinPct,Loss
1,100,7,0.070,0.435844
2,100,19,0.190,0.559378
3,100,13,0.130,0.234881
4,100,22,0.220,0.732241
5,100,13,0.130,0.142760
6,100,20,0.200,0.285847
7,100,18,0.180,0.402516
8,100,16,0.160,0.357398
9,100,16,0.160,0.033222
10,100,15,0.150,0.337972
11,100,23,0.230,0.328692
12,100,27,0.270,0.069979
13,100,16,0.160,0.216884
14,100,22,0.220,0.212089
15,100,24,0.240,0.155518
16,100,29,0.290,0.133018
17,100,24,0.240,0.183850
18,100,20,0.200,0.294177
19,100,18,0.180,0.294155
20,100,23,0.230,0.124943
21,100,22,0.220,0.435613
22,100,29,0.290,0.095268
23,100,28,0.280,0.432032
24,100,24,0.240,0.057370
25,100,29,0.290,0.668895
26,100,25,0.250,0.040952
27,100,16,0.160,0.382190
28,100,25,0.250,0.012829
29,100,25,0.250,0.098899
30,100,27,0.270,0.070644
31,100,25,0.250,0.044369
32,100,31,0.310,0.212476
33,100,28,0.280,0.374893
34,100,27,0.270,0.457279
35,100,23,0.230,0.278384
36,100,19,0.190,0.390099
37,100,24,0.240,0.135996
38,100,21,0.210,0.253561
39,100,27,0.270,0.080916
40,100,29,0.290,0.110879
41,100,19,0.190,0.219265
42,100,24,0.240,0.408969
43,100,18,0.180,0.266247
44,100,20,0.200,0.083137
45,100,27,0.270,0.353558
46,100,20,0.200,0.678666
47,100,16,0.160,0.211856
48,100,25,0.250,0.036730
49,100,24,0.240,0.026818
50,100,20,0.200,0.099462
51,100,19,0.190,0.319805
52,100,19,0.190,0.351497
53,100,20,0.200,0.056185
54,100,28,0.280,0.306769
55,100,23,0.230,0.396602
56,100,19,0.190,0.237519
57,100,27,0.270,0.202033
58,100,26,0.260,0.192776
59,100,25,0.250,0.411642
60,100,27,0.270,0.308951
61,100,29,0.290,0.468107
62,100,23,0.230,0.412758
63,100,27,0.270,0.205915
64,100,17,0.170,0.455025
65,100,29,0.290,0.408187
66,100,22,0.220,0.204570
67,100,27,0.270,0.325588
68,100,25,0.250,1.104356
69,100,22,0.220,0.093543
70,100,30,0.300,0.363101
71,100,24,0.240,0.372921
72,100,30,0.300,0.148246
73,100,23,0.230,0.459805
74,100,31,0.310,0.158798
75,100,22,0.220,0.325173
76,100,31,0.310,0.420648
77,100,22,0.220,0.544958
78,100,23,0.230,0.266495
79,100,36,0.360,0.587169
80,100,23,0.230,0.126448
81,100,27,0.270,0.059836
82,100,27,0.270,0.066139
83,100,40,0.400,0.429326
84,100,16,0.160,0.482531
85,100,21,0.210,0.926761
86,100,11,0.110,0.100033
87,100,24,0.240,0.325781
88,100,22,0.220,0.040930
89,100,12,0.120,0.324947
90,100,23,0.230,0.870558
91,100,15,0.150,0.313114
92,100,20,0.200,0.646530
93,100,20,0.200,0.574102
94,100,18,0.180,0.435792
95,100,25,0.250,0.358625
96,100,16,0.160,0.263656
97,100,10,0.100,0.309036
98,100,23,0.230,0.124277
99,100,23,0.230,0.257042
100,100,18,0.180,0.688245
